id,country_id:id,state_id:id,name
city_id_ac_as,base.id,base.state_id_ac,"Kab. Aceh Selatan"
city_id_ac_at,base.id,base.state_id_ac,"Kab. Aceh Tenggara"
city_id_ac_ai,base.id,base.state_id_ac,"Kab. Aceh Timur"
city_id_ac_ae,base.id,base.state_id_ac,"Kab. Aceh Tengah"
city_id_ac_ab,base.id,base.state_id_ac,"Kab. Aceh Barat"
city_id_ac_aa,base.id,base.state_id_ac,"Kab. Aceh Besar"
city_id_ac_pi,base.id,base.state_id_ac,"Kab. Pidie"
city_id_ac_au,base.id,base.state_id_ac,"Kab. Aceh Utara"
city_id_ac_si,base.id,base.state_id_ac,"Kab. Simeulue"
city_id_ac_an,base.id,base.state_id_ac,"Kab. Aceh Singkil"
city_id_ac_bi,base.id,base.state_id_ac,"Kab. Bireuen"
city_id_ac_bd,base.id,base.state_id_ac,"Kab. Aceh Barat Daya"
city_id_ac_gl,base.id,base.state_id_ac,"Kab. Gayo Lues"
city_id_ac_aj,base.id,base.state_id_ac,"Kab. Aceh Jaya"
city_id_ac_nr,base.id,base.state_id_ac,"Kab. Nagan Raya"
city_id_ac_am,base.id,base.state_id_ac,"Kab. Aceh Tamiang"
city_id_ac_bm,base.id,base.state_id_ac,"Kab. Bener Meriah"
city_id_ac_pj,base.id,base.state_id_ac,"Kab. Pidie Jaya"
city_id_ac_ba,base.id,base.state_id_ac,"Kota Banda Aceh"
city_id_ac_sa,base.id,base.state_id_ac,"Kota Sabang"
city_id_ac_lh,base.id,base.state_id_ac,"Kota Lhokseumawe"
city_id_ac_la,base.id,base.state_id_ac,"Kota Langsa"
city_id_ac_su,base.id,base.state_id_ac,"Kota Subulussalam"
city_id_ba_je,base.id,base.state_id_ba,"Kab. Jembrana"
city_id_ba_ta,base.id,base.state_id_ba,"Kab. Tabanan"
city_id_ba_ba,base.id,base.state_id_ba,"Kab. Badung"
city_id_ba_gi,base.id,base.state_id_ba,"Kab. Gianyar"
city_id_ba_kl,base.id,base.state_id_ba,"Kab. Klungkung"
city_id_ba_bn,base.id,base.state_id_ba,"Kab. Bangli"
city_id_ba_ka,base.id,base.state_id_ba,"Kab. Karangasem"
city_id_ba_bu,base.id,base.state_id_ba,"Kab. Buleleng"
city_id_ba_de,base.id,base.state_id_ba,"Kota Denpasar"
city_id_bb_ba,base.id,base.state_id_bb,"Kab. Bangka"
city_id_bb_be,base.id,base.state_id_bb,"Kab. Belitung"
city_id_bb_bs,base.id,base.state_id_bb,"Kab. Bangka Selatan"
city_id_bb_bt,base.id,base.state_id_bb,"Kab. Bangka Tengah"
city_id_bb_bb,base.id,base.state_id_bb,"Kab. Bangka Barat"
city_id_bb_bi,base.id,base.state_id_bb,"Kab. Belitung Timur"
city_id_bb_pp,base.id,base.state_id_bb,"Kota Pangkal Pinang"
city_id_bt_pa,base.id,base.state_id_bt,"Kab. Pandeglang"
city_id_bt_le,base.id,base.state_id_bt,"Kab. Lebak"
city_id_bt_ta,base.id,base.state_id_bt,"Kab. Tangerang"
city_id_bt_se,base.id,base.state_id_bt,"Kab. Serang"
city_id_bt_tn,base.id,base.state_id_bt,"Kota Tangerang"
city_id_bt_ci,base.id,base.state_id_bt,"Kota Cilegon"
city_id_bt_sr,base.id,base.state_id_bt,"Kota Serang"
city_id_bt_ts,base.id,base.state_id_bt,"Kota Tangerang Selatan"
city_id_be_bs,base.id,base.state_id_be,"Kab. Bengkulu Selatan"
city_id_be_rl,base.id,base.state_id_be,"Kab. Rejang Lebong"
city_id_be_bu,base.id,base.state_id_be,"Kab. Bengkulu Utara"
city_id_be_ka,base.id,base.state_id_be,"Kab. Kaur"
city_id_be_se,base.id,base.state_id_be,"Kab. Seluma"
city_id_be_mm,base.id,base.state_id_be,"Kab. Muko Muko"
city_id_be_le,base.id,base.state_id_be,"Kab. Lebong"
city_id_be_ke,base.id,base.state_id_be,"Kab. Kepahiang"
city_id_be_bt,base.id,base.state_id_be,"Kab. Bengkulu Tengah"
city_id_be_be,base.id,base.state_id_be,"Kota Bengkulu"
